name,source_schema,source_table,snapshot_target_schema,snapshot_target_table,source_filter,test_target_schema,test_target_table,primary_key
SVC_SERVICE_SUSPENSION_LOG,EDW_PRD,SVC_SERVICE_SUSPENSION_LOG,nzmigration,SVC_SERVICE_SUSPENSION_LOG,1=1,dev_legacy,SVC_SERVICE_SUSPENSION_LOG,DAY_DT|LOCATION_ID|SERVICE_AREA_ID
SVC_SERVICE_AREA,EDW_PRD,SVC_SERVICE_AREA,nzmigration,SVC_SERVICE_AREA,1=1,dev_legacy,SVC_SERVICE_AREA,SERVICE_AREA_ID
SVC_SERVICE_SUSPENSION_REASON,EDW_PRD,SVC_SERVICE_SUSPENSION_REASON,nzmigration,SVC_SERVICE_SUSPENSION_REASON,1=1,dev_legacy,SVC_SERVICE_SUSPENSION_REASON,SUSPENSION_REASON_ID
SVC_SUSPENSION_SUBMITTER_TITLE,EDW_PRD,SVC_SUSPENSION_SUBMITTER_TITLE,nzmigration,SVC_SUSPENSION_SUBMITTER_TITLE,1=1,dev_legacy,SVC_SUSPENSION_SUBMITTER_TITLE,SUBMITTED_BY_POSITION_ID
