name,source_schema,source_table,snapshot_target_schema,snapshot_target_table,source_filter,test_target_schema,test_target_table,primary_key
PETSHOTEL_ACCRUAL,EDW_PRD,PETSHOTEL_ACCRUAL,nzmigration,PETSHOTEL_ACCRUAL,1=1,dev_refine,PETSHOTEL_ACCRUAL,DAY_DT|LOCATION_ID|TP_INVOICE_NBR
TP_INVOICE_SERVICE ,EDW_PRD,TP_INVOICE_SERVICE ,nzmigration,TP_INVOICE_SERVICE ,1=1,dev_refine,TP_INVOICE_SERVICE ,TP_DAY_DT|LOCATION_ID|TP_INVOICE_NBR|UPC_ID
TP_INVOICE,EDW_PRD,TP_INVOICE,nzmigration,TP_INVOICE,1=1,dev_refine,TP_INVOICE,TP_DAY_DT|LOCATION_ID|TP_INVOICE_NBR
TP_EVENT,EDW_PRD,TP_EVENT,dev_cust_sensitive,TP_EVENT,1=1,dev_cust_sensitive,TP_EVENT,TP_INVOICE_NBR|CHANGE_DT|PARTITION_DT
SKU_PROFILE,EDW_PRD,SKU_PROFILE,nzmigration,SKU_PROFILE,1=1,dev_refine,SKU_PROFILE,PRODUCT_ID
SITE_PROFILE,EDW_PRD,SITE_PROFILE,nzmigration,SITE_PROFILE,1=1,dev_refine,SITE_PROFILE,LOCATION_ID
